[2020-11-16 16:32:43]	RCC - prev: {"nu":90,"lrn":3,"rev":64}, current: {"nu":90,"lrn":3,"rev":63}
[2020-11-16 16:32:43]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:32:45]	RCC - prev: {"nu":90,"lrn":3,"rev":63}, current: {"nu":90,"lrn":3,"rev":62}
[2020-11-16 16:32:45]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:33:40]	RCC - prev: {"nu":90,"lrn":3,"rev":62}, current: {"nu":90,"lrn":3,"rev":61}
[2020-11-16 16:33:40]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:35:26]	 - Output instruction: {"instType":2}
[2020-11-16 16:35:35]	RCC - prev: {"nu":90,"lrn":3,"rev":61}, current: {"nu":90,"lrn":4,"rev":60}
[2020-11-16 16:35:35]	 - Output instruction: {"instType":1,"dy":0,"logType":"rev-again"}
[2020-11-16 16:35:37]	 - Output instruction: {"instType":3}
[2020-11-16 16:35:43]	RCC - prev: {"nu":90,"lrn":3,"rev":61}, current: {"nu":90,"lrn":4,"rev":60}
[2020-11-16 16:35:43]	 - Output instruction: {"instType":1,"dy":0,"logType":"rev-again"}
[2020-11-16 16:35:51]	RCC - prev: {"nu":90,"lrn":4,"rev":60}, current: {"nu":90,"lrn":4,"rev":59}
[2020-11-16 16:35:51]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:36:18]	RCC - prev: {"nu":90,"lrn":4,"rev":59}, current: {"nu":90,"lrn":4,"rev":59}
[2020-11-16 16:36:18]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:36:20]	RCC - prev: {"nu":90,"lrn":4,"rev":59}, current: {"nu":90,"lrn":4,"rev":58}
[2020-11-16 16:36:20]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-11-16 16:36:30]	RCC - prev: {"nu":90,"lrn":4,"rev":58}, current: {"nu":90,"lrn":4,"rev":58}
[2020-11-16 16:36:30]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:36:39]	RCC - prev: {"nu":90,"lrn":4,"rev":58}, current: {"nu":89,"lrn":6,"rev":58}
[2020-11-16 16:36:39]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-16 16:36:53]	 - Output instruction: {"instType":2}
[2020-11-16 16:36:54]	RCC - prev: {"nu":89,"lrn":6,"rev":58}, current: {"nu":88,"lrn":7,"rev":58}
[2020-11-16 16:36:54]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:37:06]	RCC - prev: {"nu":88,"lrn":7,"rev":58}, current: {"nu":87,"lrn":8,"rev":58}
[2020-11-16 16:37:06]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:47:52]	 - Output instruction: {"instType":2}
